id,sex,age,rearing
ID15,Male,20,Parent
ID18,Female,53,Parent
ID19,Male,24,Parent
ID35,Female,9,Parent
ID40,Male,17,Other
ID45,Female,20,Other
ID47,Female,18,Parent
ID50,Female,18,Parent
ID56,Male,12,Parent
ID62,Male,9,Parent
ID75,Female,7,Parent
ID76,Female,36,Parent
ID77,Female,28,Parent
ID81,Female,12,Parent
ID82,Female,7,Parent
