"","Dyad_ID","Group_name","Season","Group_size","Sex","Breeding_status","Age_class","Playing","Allopreening","Proximal foraging","Scrounging","Dominance display","Allofeeding"
"138","62006233","BOR","Autumn",8,"Female-Female","Helper-Helper","Young-Fledgling",10,14,52,7,3,0
"139","62006232","BOR","Autumn",8,"Female-Female","Helper-Helper","Young-Fledgling",15,7,67,4,3,0
"140","62006231","BOR","Autumn",8,"Female-Female","Helper-Helper","Young-Fledgling",8,8,47,2,0,3
"141","62026233","BOR","Autumn",8,"Male-Female","Helper-Helper","Young-Fledgling",10,8,70,4,6,0
"142","62026232","BOR","Autumn",8,"Male-Female","Helper-Helper","Young-Fledgling",12,7,79,3,1,2
"143","62026231","BOR","Autumn",8,"Male-Female","Helper-Helper","Young-Fledgling",9,0,51,3,3,6
"144","62336232","BOR","Autumn",8,"Female-Female","Helper-Helper","Fledgling-Fledgling",6,4,79,10,9,1
"145","62336231","BOR","Autumn",8,"Female-Female","Helper-Helper","Fledgling-Fledgling",6,5,45,9,4,1
"146","62326231","BOR","Autumn",8,"Female-Female","Helper-Helper","Fledgling-Fledgling",9,7,50,7,13,0
"147","56165409","BOR","Winter",7,"Male-Female","Parent-Parent","Adult-Adult",0,8,32,1,1,2
"148","56166048","BOR","Winter",7,"Male-Male","Parent-Helper","Adult-Yearling",2,18,32,3,0,0
"149","56166200","BOR","Winter",7,"Male-Female","Parent-Helper","Adult-Young",1,9,26,1,0,1
"150","56166202","BOR","Winter",7,"Male-Male","Parent-Helper","Adult-Young",1,13,31,1,0,0
"151","56166232","BOR","Winter",7,"Male-Female","Parent-Helper","Adult-Young",2,11,32,1,1,0
"152","56166231","BOR","Winter",7,"Male-Female","Parent-Helper","Adult-Young",1,8,31,0,0,0
"153","54096048","BOR","Winter",7,"Male-Female","Parent-Helper","Adult-Yearling",0,6,45,0,0,0
"154","54096200","BOR","Winter",7,"Female-Female","Parent-Helper","Adult-Young",0,5,35,0,0,0
"155","54096202","BOR","Winter",7,"Male-Female","Parent-Helper","Adult-Young",0,5,40,1,0,0
"156","54096232","BOR","Winter",7,"Female-Female","Parent-Helper","Adult-Young",0,9,38,2,0,1
"157","54096231","BOR","Winter",7,"Female-Female","Parent-Helper","Adult-Young",0,4,36,2,0,0
"158","60486200","BOR","Winter",7,"Male-Female","Helper-Helper","Yearling-Young",4,11,48,2,0,0
"159","60486202","BOR","Winter",7,"Male-Male","Helper-Helper","Yearling-Young",6,9,62,6,1,0
"160","60486232","BOR","Winter",7,"Male-Female","Helper-Helper","Yearling-Young",6,11,61,3,1,1
"161","60486231","BOR","Winter",7,"Male-Female","Helper-Helper","Yearling-Young",5,12,56,4,0,0
"162","62006202","BOR","Winter",7,"Male-Female","Helper-Helper","Young-Young",4,5,55,2,1,0
"163","62006232","BOR","Winter",7,"Female-Female","Helper-Helper","Young-Young",5,6,63,2,0,0
"164","62006231","BOR","Winter",7,"Female-Female","Helper-Helper","Young-Young",4,5,58,2,0,0
"165","62026232","BOR","Winter",7,"Male-Female","Helper-Helper","Young-Young",3,5,60,6,2,0
"166","62026231","BOR","Winter",7,"Male-Female","Helper-Helper","Young-Young",7,7,55,1,1,0
"167","62326231","BOR","Winter",7,"Female-Female","Helper-Helper","Young-Young",4,6,67,8,5,0
"168","51355455","HIL","Autumn",7,"Male-Female","Parent-Parent","Adult-Adult",0,1,22,0,0,0
"169","51355976","HIL","Autumn",7,"Male-Female","Parent-Helper","Adult-Yearling",0,3,18,0,0,0
"170","51355977","HIL","Autumn",7,"Male-Female","Parent-Helper","Adult-Yearling",0,2,24,1,0,0
"171","51356039","HIL","Autumn",7,"Male-Female","Parent-Helper","Adult-Young",0,3,25,1,0,0
"172","51356053","HIL","Autumn",7,"Male-Male","Parent-Helper","Adult-Fledgling",0,0,26,3,0,0
"173","51356054","HIL","Autumn",7,"Male-Male","Parent-Helper","Adult-Fledgling",0,2,28,0,0,0
"174","54555976","HIL","Autumn",7,"Female-Female","Parent-Helper","Adult-Yearling",0,1,25,0,0,0
"175","54555977","HIL","Autumn",7,"Female-Female","Parent-Helper","Adult-Yearling",0,0,31,0,0,0
"176","54556039","HIL","Autumn",7,"Female-Female","Parent-Helper","Adult-Young",0,3,31,2,0,0
"177","54556053","HIL","Autumn",7,"Male-Female","Parent-Helper","Adult-Fledgling",0,0,30,4,0,1
"178","54556054","HIL","Autumn",7,"Male-Female","Parent-Helper","Adult-Fledgling",0,1,32,1,0,0
"179","59765977","HIL","Autumn",7,"Female-Female","Helper-Helper","Yearling-Yearling",2,2,26,0,0,0
"180","59766039","HIL","Autumn",7,"Female-Female","Helper-Helper","Yearling-Young",2,3,23,3,1,0
"181","59766053","HIL","Autumn",7,"Male-Female","Helper-Helper","Yearling-Fledgling",1,0,29,1,1,0
"182","59766054","HIL","Autumn",7,"Male-Female","Helper-Helper","Yearling-Fledgling",2,1,26,0,0,0
"183","59776039","HIL","Autumn",7,"Female-Female","Helper-Helper","Yearling-Young",3,3,29,5,3,0
"184","59776053","HIL","Autumn",7,"Male-Female","Helper-Helper","Yearling-Fledgling",1,0,30,4,1,0
"185","59776054","HIL","Autumn",7,"Male-Female","Helper-Helper","Yearling-Fledgling",1,6,36,0,0,0
