id,sex
1m,male
2f,female
3f,female
5m,male
6f,female
7m,male
8f,female
9f,female
10m,male
11m,male
12m,male
16m,male
17f,female
18f,female
19m,male
20f,female
21m,male
22f,female
23f,female
24f,female
25m,male
27f,female
