id,sex,weight,svl
BGS-1835,F,54.4,41.8
BGS-1836,F,45.3,35.48
BGS-1837,F,8.2,22.1
BGS-1838,F,9,24.4
BGS-1839,M,28.3,36
BGS-1840,M,9.6,23.3
BGS-1841,M,25.3,35.3
BGS-1842,M,23.7,33.1
BGS-1843,F,41.3,37.05
BGS-1844,F,30,36.4
BGS-1846,F,44.08,36.32
BGS-1847,F,7.6,19.2
BGS-1848,M,8.1,21.65
BGS-1849,F,36,36.65
BGS-1850,F,7,19.3
BGS-1851,M,8.4,23.2
BGS-1852,M,13.4,25
BGS-1853,F,32.51428571,31.32857143
BGS-1854,F,8.6,21.3
BGS-1855,M,15.675,26.6
BGS-1856,F,54.6,40
BGS-1857,M,15,26.95
BGS-1858,M,23.73333333,34
BGS-1859,M,8.6,20.2
BGS-1860,F,16.85,26.85
BGS-1862,F,8.5,22.7
BGS-1863,F,25.41428571,30.05714286
BGS-1864,F,24.75714286,29.84285714
BGS-1865,F,46.68,36.54
BGS-1866,F,51.2,37.7
BGS-1867,F,20.975,26.525
BGS-1868,F,6.4,19
BGS-1869,F,8.8,21.5
BGS-1870,F,8,20.3
BGS-1871,F,11.575,25.575
BGS-1872,M,25.6,32.8
BGS-1873,M,10.7,23.3
BGS-1874,F,52.9,38.225
BGS-1875,M,25.1,34.9
BGS-1876,M,28.13333333,34.8
BGS-1877,F,49.1,39.05
BGS-1878,F,53.36666667,39.06666667
BGS-1879,M,13.95,27
BGS-1880,M,30.36666667,38.2
BGS-1881,M,15.55,26.225
BGS-1882,F,51.1,40.5
BGS-1883,M,10.5,24.75
BGS-1884,M,17.4,32.1
BGS-1885,F,13.4,27.55
BGS-1886,F,8.2,22.225
BGS-1887,F,24.33333333,30.68333333
BGS-1888,F,14.18,26.76
BGS-1889,M,12.525,26.175
BGS-189,M,28.25,35.45
BGS-1891,F,49.4,38.44
BGS-1892,F,65.94444444,42.38888889
BGS-1893,M,7.4,23
BGS-1894,F,8.7,22.8
BGS-1895,M,23.4,33.25
BGS-1896,M,28.66666667,36.3
BGS-1897,F,16.7,28.15
BGS-1898,M,30.4,36.53333333
BGS-1899,F,8.4,22.1
BGS-19,F,58,41.5
BGS-1900,F,9.6,23.8
BGs-1901,F,37.6,36.9
BGS-1901,F,50.2,38.4
BGS-1902,M,13.6,26.2
BGS-1903,M,24.1,34.5
BGS-1904,M,9.15,22.9
BGS-1905,M,34.2,35.2
BGS-1906,F,15.32,27.58
BGS-1907,M,19.55,30.95
BGS-1908,M,20.6,34
BGS-1909,F,10.2,23.8
BGS-1910,M,33,37.8
BGS-1911,M,29.53333333,35.56666667
BGS-1912,M,42,43.2
BGS-1913,M,27.6,33.2
BGS-1914,F,49,39
BGS-1915,M,11.33333333,24.83333333
BGS-1916,M,7.9,20
BGS-1917,F,6.3,19.8
BGS-1918,F,10.3,23
BGS-1919,M,28.6,35.2
BGS-1920,F,8.05,21.25
BGS-1921,M,10.4,23
BGS-1922,F,59.63333333,42.15
BGS-1923,M,23.4,33
BGS-1924,F,10.9,24.5
BGS-1925,F,56.6,41.3
BGS-1926,M,30.8,36.36666667
BGS-1927,F,58.15,37.87
BGS-1928,F,48.4,36.8
BGS-1929,F,15.6,26
BGS-1930,F,13.7,25.2
BGS-1931,F,56.06666667,40.8
BGS-1932,F,44.68,35.46
BGS-1933,F,13.5,25.8
BGS-1934,F,15.32857143,26.64285714
BGS-1935,F,13.6,25.2
BGS-1936,M,29.95,33.85
BGS-1937,M,10.1,24.5
BGS-1938,F,58.05,37.9
BGS-1939,F,56.6,42.8
BGS-1940,F,59.6,39.8
BGS-1941,F,14.3,25
BGS-1942,F,42.5,38.4
BGS-1943,F,6.1,19
BGS-1944,F,12.2,24.8
BGS-1945,M,13.36666667,25.6
BGS-1946,F,27.1,28.4
BGS-1947,F,11.1,25.25
BGS-1948,M,20,31.5
BGS-1949,F,9.2,21.6
BGS-1950,M,26.4,32.8
BGS-1951,F,9.6,22.6
BGS-1952,M,4.5,17.6
BGS-1953,M,20.35,30.6
BGS-1954,F,9.8,23.4
BGS-1955,F,17.96666667,27
BGS-1956,F,11.2,24.4
BGS-1957,M,16.9,32.2
BGS-1958,M,29.96666667,32.66666667
BGS-1959,M,13.25,26.75
BGS-1960,M,33.475,35.575
BGS-1961,M,10.4,24.45
BGS-1962,F,9.2,23.8
BGS-1963,M,14.2,26.65
BGS-1964,M,17.6875,27.48571429
BGS-1965,M,11.7,24.2
BGS-1966,M,28.85,36.1
BGS-1967,F,42.8,35.93333333
BGS-1968,F,53.6,37
BGS-1969,F,18.91666667,31.58333333
BGS-1970,F,11.6,26.8
BGS-1971,F,10.4,24
BGS-1972,M,22.84,31.2
BGS-1973,F,14.45,26.05
BGS-1974,F,10.7,23.2
BGS-1975,M,12.3,25.6
BGS-1976,F,12.3,25.6
BGS-1977,F,12,25.4
BGS-1978,F,41.23333333,34.36666667
BGS-1979,M,18.9,29.6
BGS-1980,F,52.475,39.2
BGS-1981,F,32.26666667,33.3
BGS-1982,F,68.6,41.96666667
BGS-1983,F,30.5,33.6
BGS-1984,M,10,23.45
BGS-1985,M,15.4,28.85
BGS-1986,M,30.3,35.55
BGS-1987,F,57.6,39
BGS-1988,F,7.3,21.4
BGS-1989,M,23.6,32.4
BGS-1990,M,8.1,23
BGS-1991,F,52.8,37.6
BGS-1992,M,33.1,36.6
BGS-1993,F,50,37.6
BGS-1994,M,20.82,30.6
BGS-1995,F,29.6,31.85
BGS-1996,M,28.6,34.2
BGS-1997,M,13.3,26
BGS-1998,F,75.8,47.6
BGS-1999,F,70,42.5
BGS-2000,M,10.9,14.2
BGS-2001,M,19.93333333,30.5
BGS-2002,M,34.4,36.5
BGS-2003,F,11.6,25.7
BGS-2004,F,14.6,27
BGS-2005,F,51.33333333,39.3
BGS-2006,F,52.72,38.26
BGS-2007,M,29.3,36.5
BGS-2008,M,23.4,32.4
BGS-2009,F,61.3,39.4
BGS-201,M,36,35
BGS-2010,M,13.7,28.1
BGS-2011,M,14.2,26.4
BGS-2012,M,20,28.6
BGS-2013,F,62.06666667,37.56666667
BGS-2014,F,27.3,33.15
BGS-2015,F,60.6,42.2
BGS-2016,M,13.93333333,26.03333333
BGS-2017,F,20,29.6
BGS-2018,F,11.1,24.2
BGS-2019,M,18.75,29.1
BGS-2020,M,33.1,38
BGS-2021,M,37.4,37.4
BGS-2022,F,55.6,38.8
BGS-2023,M,15.5,28.6
BGS-2024,F,22.7,31.8
BGS-2025,F,48.5,37.2
BGS-2026,F,12.6,25
BGS-2027,F,41.4,34.5
BGS-2028,F,53.1,41.5
BGS-2029,F,50.9,38.8
BGS-2030,F,21.8,30.7
BGS-2031,M,15.5,27.2
BGS-2032,F,41.2,34.4
BGS-2033,F,18.1,29.5
BGS-2034,M,15.4,28
BGS-2035,F,50,38
BGS-2036,M,18.8,29.8
BGS-2037,F,15.7,26.8
BGS-2038,F,58.6,38.8
BGS-2039,F,52.6,39.2
BGS-2040,F,49.20909091,39.10909091
BGS-2041,M,15.15,25.3
BGS-2042,M,13.5,26.6
BGS-2043,M,31.6,34.6
BGS-2044,M,12.1,24.6
BGS-2045,M,9.2,24.4
BGS-2046,M,18.1,28
BGS-2047,M,11.6,26.4
BGS-2048,M,19.24,30.24
BGS-2049,M,13.6,27.1
BGS-205,F,41,36.1
BGS-2050,M,10.3,25.6
BGS-2051,M,31.8,35.6
BGS-2052,F,23.35,31.1
BGS-2053,M,18.2,28.5
BGS-2054,F,40.45,34.55
BGS-2055,F,55.2,40.3
BGS-2056,M,26.6,34.6
BGS-2057,M,15,27.3
BGS-2058,F,14.5,27.9
BGS-2059,F,17.2,29.6
BGS-2060,M,24.6,31.46666667
BGS-2061,M,19.5,29.2
BGS-2062,M,15.5,25.9
BGS-2063,F,32.05,34
BGS-2064,M,14.9,28
BGS-2065,M,14.4,27
BGS-2066,F,57.8,40.2
BGS-2067,F,38.56666667,37.93333333
BGS-2068,M,38.25,39.3
BGS-2069,M,18.5,29.8
BGS-2070,M,20,31
BGS-2071,F,41.6,35.5
BGS-2072,F,11.3,27.6
BGS-2073,M,21.65,32.9
BGS-2074,M,43,38
BGS-2075,M,31,36.2
BGS-2076,M,19.95,29.6
BGS-2077,M,16.1,29
BGS-2078,M,15.95,29.1
BGS-2079,M,17.2,28.8
BGS-2080,F,22.9,25.25
BGS-2081,F,41.25,38.95
BGS-2082,M,22.775,29.8
BGS-2083,F,31.35,35.85
BGS-2084,M,20,30
BGS-2085,M,23,32.8
BGS-2086,M,21.3,32.3
BGS-2087,F,51.2,43.1
BGS-2088,M,22.1,31
BGS-2089,M,21.4,32.4
BGS-2090,M,23.2,34.5
BGS-2091,M,38.2,38.7
BGS-2092,M,22.1,31.64
BGS-2093,M,22.05,30.55
BGS-2094,M,37.1,37.4
BGS-2095,M,28.55,33.65
BGS-2096,M,26.35,33.6
BGS-2097,M,25.7,35.2
BGS-2098,M,21.5,31.4
BGS-2099,F,27.2,38.8
BGS-2100,F,40,41
BGS-2101,F,33.1,37
BGS-2102,M,21.275,32.975
BGS-2103,M,20.9,33.6
BGS-2104,F,23.6,33.5
BGS-2105,F,36.7,37.2
BGS-2106,M,32,38.4
BGS-2107,M,20.1,30.6
BGS-2108,F,40.4,37.4
BGS-2109,M,12.9,27.05
BGS-2110,M,15.4,32
BGS-2111,F,8.5,22.44
BGS-2112,M,7.3,20.5
BGS-2113,M,23.9125,33.05
BGS-2114,M,5.2,21
BGS-2115,M,6,21
BGS-2116,M,20,34.5
BGS-2117,F,8.8,22.83333333
BGS-2118,M,19.25,33.2
BGS-2119,M,25.08333333,34.54
BGS-2120,M,33.8,35.43333333
BGS-2121,M,23.53333333,33.53333333
BGS-2122,M,7.9,21.4
BGS-2123,M,13.76666667,25.7
BGS-2124,M,6.6,21.8
BGS-2125,M,5.6,21.5
BGS-2126,M,4.8,19.4
BGS-2127,M,6.333333333,19.46666667
BGS-2128,F,9.4,24.4
BGS-2129,M,16,31.1
BGS-2130,F,25,34.3
BGS-2131,F,31.86666667,31.3
BGS-2132,F,7.4,20.2
BGS-2133,M,20.1,33.2
BGS-2134,M,12.95,24.75
BGS-2135,M,13.575,26.4
BGS-2136,M,26.2,34.9
BGS-2137,M,8.2,21
BGS-2138,M,31.35,37.625
BGS-2139,M,5.6,20.5
BGS-2140,M,26.35,36.35
BGS-2141,M,13.83333333,26.23333333
BGS-2142,M,7.5,19.9
BGS-2143,M,7.8,20.4
BGS-2144,M,21.6,33.8
BGS-2145,F,8,23.8
BGS-2146,F,22.1,30.5
BGS-2147,F,6.5,18.8
BGS-2148,F,21.625,26.425
BGS-2149,F,6.5,20.4
BGS-2150,F,9.35,22.3
BGS-2151,M,8.4,23.9
BGS-2152,M,8.45,22.95
BGS-2153,M,23.2,33.1
BGS-2154,F,31.6,33.7
BGS-2155,M,6.3,19.8
BGS-2156,M,33.8,35.75
BGS-2157,M,8.6,22.5
BGS-2158,M,5.7,29.7
BGS-2159,F,5.4,19.7
BGS-2160,M,9.3,27.4
BGS-2161,M,10,23.2
BGS-2162,F,6.1,19
BGS-2163,F,50.8,38.65
BGS-2164,M,16.93333333,27.16666667
BGS-2165,F,7.4,22.6
BGS-2166,F,32,36.2
BGS-2167,M,5.1,19.1
BGS-2168,M,12.7,25.1
BGS-2169,M,21.1,32.5
BGS-2170,F,8.6,21.5
BGS-2171,F,49.85,36.075
BGS-2172,F,42.8,36.35
BGS-2173,F,39.4,36.03333333
BGS-2174,F,6.7,21.2
BGS-2175,F,28.7,29.15
BGS-2176,F,10.2,24.1
BGS-2177,M,26.6,37.5
BGS-2178,M,11,24
BGS-2179,M,7,21.9
BGS-2180,F,8,23.5
BGS-2181,M,11.5,25.4
BGS-2182,M,10.8,23.1
BGS-2183,F,10,23.2
BGS-2184,F,56.225,38.725
BGS-2185,M,8.2,23.1
BGS-2186,F,12.5,26.2
BGS-2187,M,10.4,25.6
BGS-2188,M,9.1,24.4
BGS-2189,M,10.2,24.5
BGS-2190,M,19.5,31.8
BGS-2191,F,10,25.1
BGS-2192,M,15.3,27.7
BGS-2193,F,44.55,37.4
BGS-2194,M,22,30.5
BGS-2195,M,37.08,40.5
BGS-2196,M,14,26.06666667
BGS-2197,M,13.4,25.45
BGS-2198,F,14.2,25.8
BGS-2199,M,8.2,23.2
BGS-2200,M,27.93333333,33.7
BGS-2201,M,24.1,33.5
BGS-2202,M,7.6,22.2
BGS-2203,F,6.4,21
BGS-2204,F,36.8,35.25
BGS-2205,F,13,24.4
BGS-2206,M,12.1,24.5
BGS-2207,F,60,41.8
BGS-2208,M,25.2,33.22
BGS-2209,F,24,34
BGS-2210,M,21,32.5
BGS-2211,F,6.1,21
BGS-2212,M,12,25.5
BGS-2213,F,13.2,25.5
BGS-2214,M,12.13333333,27.1
BGS-2215,M,29.03333333,36.7
BGS-2216,F,24.55,29.85
BGS-2217,M,8.4,23.5
BGS-2218,M,13.55,25.8
BGS-2219,M,8.8,23.5
BGS-2220,F,12,24.5
BGS-2221,M,15.2,27.45
BGS-2222,M,11.4,23.5
BGS-2223,F,42,35.5
BGS-2224,M,35.8,37.5
BGS-2225,M,18.35,28.25
BGS-2226,F,16.3,27.5
BGS-2227,F,35,37
BGS-2228,F,14.7,25.5
BGS-2229,M,23.75,33.8
BGS-2230,M,11.05,23
BGS-2231,M,12.4,24.4
BGS-2232,F,42,36.7
BGS-2233,M,27.2,34.2
BGS-2234,M,31.33333333,36.13333333
BGS-2235,M,12.5,24.9
BGS-2236,M,9.5,23.6
BGS-2237,M,12.8,27
BGS-2238,F,48.5,39.5
BGS-2239,M,7,22.5
BGS-2240,M,19,31.3
BGS-2241,M,11.8,25.3
BGS-2242,M,10.8,24.5
BGS-2243,F,10,25.8
BGS-2244,F,24,31.4
BGS-2245,F,11.8,26
BGS-2246,M,10.4,24.4
BGS-2247,M,20.5,31.3
BGS-2248,F,8.4,23
BGS-2249,F,11.1,25.4
BGS-2250,M,15.15,28.15
BGS-2251,M,13.8,27
BGS-2252,F,10.4,25.4
BGS-2253,M,10,24.4
BGS-2254,F,10.6,24.5
BGS-2255,M,26.1,31.9
BGS-2256,M,6.4,21.5
BGS-2257,M,30,36.7
BGS-2258,M,10.1,24.5
BGS-2259,M,30.3,34.75
BGS-2260,F,10.9,26.1
BGS-2261,M,12.5,25.55
BGS-2262,F,44.3,35.46666667
BGS-2263,F,13.6,28
BGS-2264,M,22,32.1
BGS-2265,M,30.55,35.55
BGS-2266,M,24.66666667,33.3
BGS-2267,M,33.25,37.3
BGS-2268,F,50.2,36.7
BGS-2269,M,20.375,30.15
BGS-2270,M,25,35
BGS-2271,M,17.5,29.1
BGS-2272,M,20.5,31
BGS-2273,M,14.96666667,27.96666667
BGS-2274,F,59.75,38.75
BGS-2275,F,30.95,34.7
BGS-2276,F,16.85,27.75
BGS-2277,M,13,26.2
BGS-2278,M,17.75,29.2
BGS-2279,M,15.6,27.65
BGS-2280,M,14.6,27.5
BGS-2281,F,15.4,27.5
BGS-2282,M,16.66666667,27.63333333
BGS-2283,F,75,40
BGS-2284,M,22.13333333,31.76666667
BGS-2285,M,16.925,28.825
BGS-2286,M,11.83333333,24.83333333
BGS-2287,M,8.8,24.2
BGS-2288,F,14.5,26.2
BGS-2289,M,11.1,25
BGS-2290,M,12.3,25.5
BGS-2291,F,11.6,24.9
BGS-2292,F,55,40.9
BGS-2293,F,42,47.5
BGS-2294,M,17.5,32.2
BGS-2295,M,23,32.2
BGS-2296,F,41.5,36.5
BGS-2297,M,24,32.7
BGS-2298,F,35,35.25
BGS-2299,M,14,27
BGS-2300,M,13.7,25.2
BGS-2301,M,11.7,25.2
BGS-2302,F,13.6,24.4
BGS-2303,F,11.8,25.2
BGS-2304,M,32.05,36.5
BGS-2305,M,14.9,26.9
BGS-2306,F,47.6,38.5
BGS-2307,F,44.6,36.5
BGS-2308,M,9.6,22
BGS-2309,M,12.3,24.65
BGS-2310,M,17,29
BGS-2311,F,46,36.5
BGS-2312,M,15.6,27
BGS-2313,M,9,21.5
BGS-2314,M,8.65,22.3
BGS-2315,F,60.5,41.43333333
BGS-2316,M,11.2,24.5
BGS-2317,M,12.1,23.7
BGS-2318,F,56,43.5
BGS-2319,M,11,24.5
BGS-2320,M,26,32.5
BGS-2321,F,47.66666667,36.86666667
BGS-2322,M,22,32
BGS-2323,F,32.12,32.6
BGS-2324,F,8.8,20.5
BGS-2325,F,8.2,21.5
BGS-2326,M,14.6,27.25
BGS-2327,M,11,23
BGS-2328,M,25,32.5
BGS-2329,M,15.2,26.3
BGS-233,M,22.5,35.4
BGS-2330,M,14.53333333,26.36666667
BGS-2331,F,6.8,23
BGS-2332,M,16.6,29.5
BGS-2333,F,15.2,28
BGS-2334,F,10.2,24
BGS-2335,F,43.33333333,36.5
BGS-2336,F,16.75,27
BGS-2337,F,49.5,35.5
BGS-2338,F,12.05,24
BGS-2339,M,14.8,26.2
BGS-2340,F,51,40.3
BGS-2341,F,28.85,29.475
BGS-2342,F,53.9625,36.85
BGS-2343,M,10.6,23
BGS-2344,F,44,35.5
BGS-2345,M,28.16666667,33.46666667
BGS-2346,F,47.5,36.5
BGS-2347,M,16.2,28.5
BGS-2348,M,11.1,23.5
BGS-2349,F,84,43
BGS-2350,F,57.5,40.7
BGS-2351,M,10.5,24.8
BGS-2352,M,34.98571429,37.48571429
BGS-2353,M,22.2,30.9
BGS-2354,M,37.5,39.5
BGS-2355,M,15.8,26.5
BGS-2356,M,16,27
BGS-2357,F,40.275,33.7375
BGS-2358,F,18,29
BGS-2359,M,17.6,27
BGS-236,M,29,35.06666667
BGS-2360,M,16,27.5
BGS-2361,F,13.5,24.5
BGS-2362,M,20.7,29.65
BGS-2363,F,11.4,25.4
BGS-2364,F,28.56,32.3
BGS-2365,M,30.5,35.3
BGS-2366,M,20,29
BGS-2367,M,17,27.8
BGS-2368,F,54.5,39
BGS-2369,M,39.1,40
BGS-237,M,35.4,37
BGS-2370,F,15.1,25.5
BGS-2371,M,17.1,28.4
BGS-2372,M,17.65,27.95
BGS-2373,M,26.1,30.4
BGS-2374,F,26.73333333,31.9
BGS-2375,M,8.7,22.1
BGS-2376,M,23.83333333,33.33333333
BGS-2377,F,12,25.4
BGS-2378,M,29.16666667,35.23333333
BGS-2379,M,35.9,35.5
BGS-2380,M,41.1,40
BGS-2381,M,14.2,26.8
BGS-2382,M,17.8,28.6
BGS-2383,F,50.8,40
BGS-2384,F,20,31.7
BGS-2385,F,12.8,26.1
BGS-2386,F,15.15,28
BGS-2387,F,13,24.7
BGS-2388,M,32.15,36.58
BGS-2389,M,35,34.8
BGS-2390,M,37,35.4
BGS-2391,F,29.025,33.6
BGS-2392,F,57.975,39.75
BGS-2393,M,18.6,27.5
BGS-2394,F,19.65,25.4
BGS-2395,M,18.2,29
BGS-2396,M,16.2,29.4
BGS-2397,M,25,32
BGS-2398,F,55.63333333,38.73333333
BGS-2399,F,15.2,25
BGS-2400,F,11.7,24.5
BGS-2401,M,20,30
BGS-2402,F,33.3,33.75
BGS-2403,M,22.33333333,31.93333333
BGS-2404,M,26.6,32
BGS-2405,F,33.3,34.9
BGS-2406,F,80,43.78333333
BGS-2407,F,17.2,29
BGS-2408,M,19.75,26
BGS-2409,F,40.33333333,36.3
BGS-2410,F,57,39
BGS-2411,F,51.6,36.5
BGS-2412,F,21,30.7
BGS-2413,F,16,28.5
BGS-2414,M,18.5,30
BGS-2415,M,17.75,29.4
BGS-2416,M,16,28.6
BGS-2417,M,12,25.8
BGS-2418,F,10,23.8
BGS-2419,M,26.15,33.75
BGS-2420,F,57.2,36.4
BGS-2421,M,12.1,24.5
BGS-2422,M,21.55,30.75
BGS-2423,M,39.4,36.8
BGS-2424,M,22.6,31.5
BGS-2425,F,47.25,38.6
BGS-2426,F,27.95,31.2
BGS-2427,M,24,33.05
BGS-2428,F,19,29.9
BGS-2429,F,8,22.5
BGS-2430,F,50,38.5
BGS-2431,F,39.86666667,36.96666667
BGS-2432,F,29.05,33.35
BGS-2433,F,75.5,38.9
BGS-2434,F,65.5,40
BGS-2435,F,47,40
BGS-2436,M,19,30.1
BGS-2437,M,22.5,30.5
BGS-2438,M,23,31
BGS-2439,F,53.75,38.5
BGS-2440,F,52,39.75
BGS-2441,M,27,32.5
BGS-2442,F,27.5,32.3
BGS-2443,M,39.8,38.56666667
BGS-2444,F,68.5,43.5
BGS-2445,F,19,28.3
BGS-2446,M,20,30
BGS-2447,M,15,26.5
BGS-2448,M,21,30.5
BGS-2449,M,26,30.6
BGS-2450,F,52.95,38.55
BGS-2451,F,97,44
BGS-2452,F,24.5,31.8
BGS-2453,M,27.5,33.83333333
BGS-2454,M,20,30.1
BGS-2455,F,40.5,39.6
BGS-2456,M,20,28.4
BGS-2457,F,27,30.6
BGS-2458,M,11.1,24.2
BGS-2459,F,25,32
BGS-2460,M,27,31.2
BGS-2461,F,36.25,33.3
BGS-2462,M,12.1,25.8
BGS-2463,M,27.1,33.3
BGS-2464,M,23,33.7
BGS-2465,M,20,27
BGS-2466,M,20.5,30.2
BGS-2467,F,33,33.5
BGS-2468,M,22,29.4
BGS-2469,F,31.5,34.5
BGS-2470,M,22,30.6
BGS-2471,M,17.6,28.7
BGS-2472,F,28.5,33
BGS-2473,M,25.5,31
BGS-2474,F,28.5,32
BGS-2475,M,21.75,31.05
BGS-2476,M,22.5,31.5
BGS-2477,F,39,37
BGS-2478,F,39.95,34
BGS-2479,F,48.1,37.15
BGS-2480,M,20.5,29
BGS-2481,F,26,31.3
BGS-2482,F,37.1,35.98
BGS-2483,F,69.46666667,37.86666667
BGS-2484,F,31.5,32.5
BGS-2485,F,29,32.8
BGS-2486,F,20,28
BGS-2487,F,26,32.3
BGS-2488,F,30,32.8
BGS-2489,F,25,32
BGS-2490,M,41,38.3
BGS-2491,M,20.675,32.025
BGS-2492,F,21.5,32.8
BGS-2493,M,25.5,33.6
BGS-2494,M,22.7,31.6
BGS-2495,F,45,37.9
BGS-2496,F,45,39.5
BGS-2497,M,24,31.5
BGS-2498,F,28.5,34
BGS-2499,F,38.6,35
BGS-250,M,41.83333333,36.23333333
BGS-2500,M,28.36666667,32.93333333
BGS-2501,F,7.9,20.9
BGS-2502,M,26.6,32.6
BGS-2503,F,35.6,36.7
BGS-2504,F,36.325,35.725
BGS-2505,F,50.07142857,37.24285714
BGS-2506,M,10.3,21.7
BGS-2507,F,35.6,36.1
BGS-2508,M,25,30.4
BGS-2509,F,30,33.7
BGS-2510,M,15.6,27.6
BGS-2511,M,24.1,31.8
BGS-2512,M,27,33.3
BGS-2513,F,33.6,36.1
BGS-2514,F,9.6,21.6
BGS-2515,F,7.15,19.8
BGS-2516,F,22.7,25.75
BGS-2517,F,54.73333333,37.86666667
BGS-2518,M,11,22
BGS-2519,M,10.6,22.1
BGS-252,M,26.75,32.95
BGS-2520,F,8.7,21.5
BGS-2521,M,9.5,23
BGS-2522,M,28.6,33.5
BGS-2523,F,10,21
BGS-2524,F,10.1,22.9
BGS-2525,M,10.2,23.2
BGS-2526,F,7.1,19.2
BGS-2527,M,10.66666667,24.16666667
BGS-2528,F,7,19.4
BGS-2529,F,6.8,20.2
BGS-2530,M,27.6,35.5
BGS-2531,F,9.45,22.1
BGS-2532,M,27.6,34
BGS-2533,F,35.9,32.7
BGS-2534,F,62,44.2
BGS-2535,M,23.6,32.2
BGS-2536,F,28.96666667,30
BGS-2537,M,8.5,21.8
BGS-2538,F,8.2,22.5
BGS-2539,M,8.1,23.4
BGS-2540,F,59.2,42.6
BGS-2541,M,7.7,22.5
BGS-2542,M,25.125,33.975
BGS-2543,M,20,33.9
BGS-2544,F,37.35,33.45
BGS-2545,F,40.2,41.25
BGS-2546,F,8.5,23
BGS-2547,M,6,20.4
BGS-2548,F,28.4,36.2
BGS-2549,M,24.9,31.85
BGS-2550,M,6.6,21.2
BGS-2551,F,32.4,38.6
BGS-2552,M,20.4,34.1
BGS-2553,M,14.9,28.6
BGS-2554,M,19,34.2
BGS-2555,F,62,43.7
BGS-2556,M,9.5,23.5
BGS-2557,M,9.35,22.85
BGS-2558,F,37.75,35.85
BGS-2559,M,17.95,31.7
BGS-2560,M,24.95,31.925
BGS-2561,F,24.65,30.25
BGS-2562,M,15.4,22.1
BGS-2563,F,7,23.2
BGS-2564,F,9.5,22.65
BGS-2565,M,18.95,31
BGS-2566,F,9.4,22.4
BGS-2567,M,9.7,22.6
BGS-2568,F,10.4,24.5
BGS-2569,M,11.2,25.25
BGS-2570,M,9.4,23.05
BGS-2571,M,8.7,23.8
BGS-2572,M,23.1,30.95
BGS-2573,M,20.9,33.2
BGS-2574,F,8.5,24.9
BGS-2575,F,60.54615385,39.03076923
BGS-2576,F,6.4,22
BGS-2577,F,33.4,37.1
BGS-2578,F,6.5,22.1
BGS-2579,F,9.6,23.3
BGS-2580,F,10.4,24.8
BGS-2581,F,9.3,22.9
BGS-2582,F,8.2,21.8
BGS-2583,M,11.1,22.9
BGS-2584,M,16.45,30
BGS-2585,F,5.4,12
BGS-2586,M,18.8,29.5
BGS-2587,M,20.4,31.5
BGS-2588,F,27.9,28
BGS-2589,M,9.9,23.3
BGS-2590,F,14.65,26.65
BGS-2592,M,12,24.2
BGS-2593,M,23.4,35.2
BGS-2594,M,17.9,31.4
BGS-2595,M,12.4,24.8
BGS-2596,M,10.3,24.2
BGS-2597,M,10.7,23
BGS-2598,F,11.96666667,23.53333333
BGS-2599,M,10.6,23.4
BGS-2600,F,36.4,35.4
BGS-2601,M,8.2,21.3
BGS-2602,M,21.33333333,31.93333333
BGS-2603,F,6.9,20.4
BGS-2604,F,35.2,35.5
BGS-2605,M,6.4,19.1
BGS-2606,M,16.5,27.06666667
BGS-2607,F,39.3,35.3
BGS-2608,M,19.4,32.7
BGS-2609,F,47.9,38.2
BGS-2610,F,64.4,41.6
BGS-2611,F,11.8,25.5
BGS-2612,F,53.06666667,39.2
BGS-2613,M,8.1,20.4
BGS-2614,F,60,39.4
BGS-2615,F,36.4,36.4
BGS-2616,F,39.5,37
BGS-2617,M,21.9,34.7
BGS-2618,F,46.1,37.03333333
BGS-2619,F,36.4,33.5
BGS-2620,M,5.6,17.2
BGS-2621,F,53.85,37.65
BGS-2622,F,55.4,40.2
BGS-2623,F,45.1625,36
BGS-2624,F,13.45,25.75
BGS-2625,M,8.9,23.4
BGS-2626,F,14.76666667,28.06666667
BGS-2627,F,36.33333333,31.9
BGS-2628,F,50,40
BGS-2629,M,14,24.5
BGS-2630,F,8.3,22.1
BGS-2631,F,60.4,39.7
BGS-2632,F,10.2,22.3
BGS-2633,F,50.56666667,38.6
BGS-2634,F,53.4,39.8
BGS-2635,F,38,34.2
BGS-2636,F,31,33.7
BGS-2637,F,37.95,34.125
BGS-2638,F,26.75,31.55
BGS-2639,F,43.4,35.03333333
BGS-264,M,34,38.2
BGS-2640,F,10.2,23.8
BGS-2641,F,9.75,22.2
BGS-2642,M,15.45,25.4
BGS-2643,M,18.5,30.05
BGS-2644,F,11.5,24.3
BGS-2645,M,12.8,25.9
BGS-2646,F,14.6,25.25
BGS-2647,M,26.6,32.9
BGS-2648,M,18.76666667,26.76666667
BGS-2649,M,34.5,38.15
BGS-2650,F,60,44.8
BGS-2651,M,29.1,34.9
BGS-2652,M,18,27.4
BGS-2653,M,10.8,25
BGS-2654,M,23.9,31.2
BGS-2655,M,24,33.5
BGS-2656,F,16.4,26.4
BGS-2657,F,15.45,25.7
BGS-2658,M,16,27.6
BGS-2659,F,16.4,25.5
BGS-2660,F,41.9,35.4
BGS-2661,M,10,22.2
BGS-2662,F,41.4,37.6
BGS-2663,M,14,25.2
BGS-2664,M,33.75,36.1
BGS-2665,M,22.4,30
BGS-2666,M,13.9,25.8
BGS-2667,M,18.86666667,29.2
