id,sex,weight,svl
BGS-1190,M,13.5,25.2
BGS-1191,M,25.3,36.55
BGS-1192,F,71.65,45.03333333
BGS-1193,M,10.75,25.5
BGS-1194,M,9.4,24.3
BGS-1195,F,13.1,26.25
BGS-1196,F,45.8,43.4
BGS-1197,F,37.25,38.65
BGS-1198,F,76.6,46
BGS-1199,F,52.6,40.5
BGS-1200,M,31.4,37.65
BGS-1201,M,18,31.5
BGS-1202,F,39.7,37.1
BGS-1203,F,49.7,38.575
BGS-1204,F,25.55,28
BGS-1205,F,9.3,24.6
BGS-1206,M,10.6,24.8
BGS-1207,M,8.9,22.975
BGS-1208,M,19.6,34.5
BGS-1209,M,13.13333333,27.03333333
BGS-1210,F,54.8,44.4
BGS-1211,F,58,42.7
BGS-1212,F,45.7,39.35
BGS-1213,M,12.7,25.5
BGS-1214,M,10.1,25
BGS-1215,F,40,33.9
BGS-1216,M,32.43333333,38.15
BGS-1217,M,11.2,26.3
BGS-1218,M,21.3,35.5
BGS-1219,F,9.8,23.5
BGS-1220,F,13.9,28.3
BGS-1221,M,9.8,25
BGS-1222,F,21.9,31.55
BGS-1223,M,12.1,25
BGS-1224,F,10,24.8
BGS-1225,F,10,25
BGS-1226,F,9.5,24.1
BGS-1227,M,14.03333333,26.83333333
BGS-1228,F,12.1,26.7
BGS-1229,F,11.65,27.95
BGS-1230,F,14.4,26
BGS-1231,M,9.7,25.3
BGS-1232,F,30.45,31.65
BGS-1233,M,12,25.8
BGS-1234,F,9.7,23.6
BGS-1235,F,42.4,36.8
BGS-1236,F,33.6,34.8
BGS-1237,F,12.85,25.85
BGS-1238,F,12.8,25.4
BGS-1239,M,25.26666667,34.5
BGS-1240,F,48.7,39.86666667
BGS-1241,F,46.06666667,37.66666667
BGS-1242,F,11.7,25
BGS-1243,M,22,35.3
BGS-1244,M,17.2,36.2
BGS-1245,M,11.2,25.7
BGS-1246,M,32.1,39.5
BGS-1247,F,49.56666667,39.86666667
BGS-1248,F,37.85,38.15
BGS-1249,M,10.8,26
BGS-1250,F,43.3,39
BGS-1251,M,26.4,34.75
BGS-1252,F,7.3,22
BGS-1253,M,24.2,32.4
BGS-1254,M,23.4,33.4
BGS-1255,M,9.5,24
BGS-1256,F,65.775,40.16666667
BGS-1257,F,50.12,38.46
BGS-1258,F,73.6,46
BGS-1259,F,67,40.4
BGS-1260,F,59.9,39.85
BGS-1261,F,59.4,42.7
BGS-1262,F,38.5,33.6
BGS-1263,F,37.9,35
BGS-1264,M,25.5,34.5
BGS-1265,F,38.83333333,37.45
BGS-1266,F,55.8,40.1
BGS-1267,F,55.9,39.86666667
BGS-1268,F,41.8,36.5
BGS-1269,M,10,24
