id,sex
bd,M
by,M
bz,M
cb,F
ct,M
dc,M
ds,M
dv,F
ed,M
ev,F
gv,M
gw,F
id,F
il,F
jr,M
ks,F
lb,M
lh,F
ll,F
ma,M
mw,F
nu,F
nv,F
oh,F
oo,M
ov,M
pq,M
qa,M
qn,F
qo,M
qr,M
rc,M
sq,M
va,M
vd,F
wb,M
wr,M
ws,M
xb,M
xd,M
xt,F
xu,M
zb,F
zk,M
