id,sex,age,rearing
ID1,Male,11,Parent
ID2,Male,11,Parent
ID7,Male,31,Parent
ID20,Female,32,Parent
ID43,Female,24,Parent
ID48,Male,16,Parent
ID49,Female,15,Parent
ID55,Female,42,Other
ID72,Female,14,Parent
ID79,Female,7,Parent
