"","FS1","FS2","FS3","FS4","MS16","MS18"
"FS1",0,0,0,0,0.000822098,0
"FS2",0.010410402,0,0.007833395,0.008768241,0.004018848,0
"FS3",0.014609709,0,0,0,0.000822098,0
"FS4",0.005690225,0,0.003257904,0,0.001636574,0.000814476
"MS16",0.008189784,0,0.002455785,0,0,0
"MS18",0.00560144,0.003920047,0.002418787,0.002405692,0.006391356,0
