G17,ID12,ID13,ID21,ID33,ID36
ID12,0,0.0123762,0,0.0173697,0.0794045
ID13,0.0247525,0,0.0877193,0.0074442,0.0074257
ID21,0.0049628,0.0501253,0,0.0173697,0.0024752
ID33,0.0248139,0.0099256,0.0024814,0,0.049505
ID36,0.0248139,0.0024752,0,0.049505,0
