,by,bz,dc,dv,gv,il,ks,mw,oh,oo,qa,qr,sq,vd,xt,zb
by,0,0.021092102,0,0.007030701,0,0,0.007030701,0,0.014143605,0.007194245,0.00703441,0,0.007167431,0,0,0
bz,0,0,0,0,0,0,0,0.014388489,0.007071802,0,0,0,0,0.007068803,0.020923177,0
dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gv,0.007142857,0,0,0,0,0,0,0.007194245,0,0.007194245,0,0,0,0,0,0
il,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007113134,0,0
ks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0.007194245
oh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oo,0,0,0,0,0,0,0,0.014388489,0.007071802,0,0.007194245,0,0.014334862,0,0,0.014388489
qa,0,0,0,0,0.00703441,0,0,0.014388489,0,0,0,0.007141327,0.007167431,0,0.020983195,0.007224998
qr,0,0,0,0,0,0,0,0,0,0,0.021423981,0,0,0,0,0
sq,0.021365563,0,0,0,0,0.006947017,0,0.043165468,0.014239234,0,0.028669725,0.007167431,0,0.014334862,0,0
vd,0.007113134,0,0,0,0,0.007113134,0,0,0,0,0,0,0,0,0,0
xt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zb,0,0,0,0.007224998,0,0,0,0,0.007224998,0,0,0,0,0.02878813,0.014449997,0
