"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,3,1,1,2,1,2,0,2,2
"2",3,0,0,2,1,2,1,0,2,1
"3",1,0,0,4,2,1,2,0,3,3
"4",1,2,4,0,3,1,4,0,2,3
"5",2,1,2,3,0,2,3,0,1,2
"6",1,2,1,1,2,0,2,1,5,4
"7",2,1,2,4,3,2,0,2,4,6
"8",0,0,0,0,0,1,2,0,4,1
"9",2,2,3,2,1,5,4,4,0,5
"10",2,1,3,3,2,4,6,1,5,0
