,bd,cb,ct,ds,ed,ev,gw,id,jr,lb,lh,ll,ma,nu,nv,ov,pq,qn,qo,rc,va,wb,wr,ws,xb,xd,xu,zk
bd,0,9.564459602,14.91660185,9.607197923,24.7363644,10.25668265,13.10835313,14.95266488,5.977484472,30.74316506,5.041181215,53.38958484,1.728549723,5.640768877,6.343321953,22.03167203,17.65930113,11.54008365,13.00196125,11.65992262,1.84307554,23.60440152,26.45477903,1.285847082,2.841637012,21.70328741,9.731495859,3.860713013
cb,9.564459602,6.280373832,28.63163454,16.32678326,9.708643904,5.535835429,8.048143917,4.081860552,8.179477265,4.579529882,5.490227442,9.690280468,10.48961207,20.83715943,10.67123512,3.401721991,15.86535029,15.01959944,36.0652829,24.98629412,13.16736108,32.36147668,18.98262493,13.54745187,18.76619526,18.35238904,30.08314218,6.876717727
ct,14.91660185,28.63163454,0,10.65485292,7.556001924,18.27497894,7.308008171,8.300175709,12.03918501,28.55361837,12.01382833,20.490725,17.24759356,13.94556047,6.184098628,11.94466464,7.277067762,6.020905151,13.54979772,3.663777405,5.774814746,10.3705859,8.84639824,3.378752703,12.7872947,10.42319491,24.81754532,17.0664212
ds,9.607197923,16.32678326,10.65485292,0,12.83100734,45.3967335,13.80269794,11.27506078,11.73049863,30.04972895,17.08076274,13.56699903,6.049288033,18.60292537,3.428242287,14.61493039,25.94334612,9.14209695,27.58511651,11.17590288,10.9424397,7.581442955,24.72071118,5.830463299,12.23898555,5.466911864,5.387875886,9.841258976
ed,24.7363644,9.708643904,7.556001924,12.83100734,0,37.30371002,5.788817225,0.512313829,10.59469421,4.702114349,5.368869395,7.315448583,6.738816061,4.619954117,0,10.13886596,7.504021307,45.3742124,8.252804093,5.372926498,14.21513029,19.55493987,10.92561145,3.25747078,0.579834302,4.285780919,13.55338872,7.72316562
ev,10.25668265,5.535835429,18.27497894,45.3967335,37.30371002,0.818140142,11.66006962,16.6930216,36.43728538,29.72524144,35.88348043,3.648479754,10.01086757,25.33645614,10.74710175,8.323803157,29.05436162,9.410762664,31.61492666,16.81125778,14.10279192,27.18954252,19.11361132,15.93221397,3.973754911,1.849472191,120.4637459,40.00188212
gw,13.10835313,8.048143917,7.308008171,13.80269794,5.788817225,11.66006962,0,29.06664629,20.55406384,17.51345337,24.15916399,31.90352447,10.63411012,22.08987331,38.31270719,34.56021044,6.825490666,14.43078817,17.11126112,15.89413856,7.770605924,17.37176518,16.42360241,18.0790131,101.4581473,9.111706343,5.862755633,28.56358182
id,14.95266488,4.081860552,8.300175709,11.27506078,0.512313829,16.6930216,29.06664629,0,16.2749582,12.90088014,6.088735397,4.618259352,6.503369211,8.045132425,41.76051571,4.843728237,3.399865419,8.265679864,21.22923398,1.5808541,5.063716466,9.272855854,7.099619503,7.229371338,43.29576691,1.558897793,11.59250208,25.92197384
jr,5.977484472,8.179477265,12.03918501,11.73049863,10.59469421,36.43728538,20.55406384,16.2749582,0,22.81908866,73.72123335,14.12998651,5.737088749,18.98954923,22.31888857,28.09332367,25.42044625,33.37221256,28.06380948,1.895409417,3.888489209,22.43833383,28.42831821,7.776141178,12.79405278,1.804347826,14.33333333,23.44369209
lb,30.74316506,4.579529882,28.55361837,30.04972895,4.702114349,29.72524144,17.51345337,12.90088014,22.81908866,0.446069908,19.51750299,17.90340214,6.581048912,17.30181003,13.04544326,19.59954199,11.7197622,34.7780444,14.09088759,5.64941421,8.050807007,26.96286741,20.60514428,9.298455622,4.898281179,2.671102033,12.68693949,16.15925028
lh,5.041181215,5.490227442,12.01382833,17.08076274,5.368869395,35.88348043,24.15916399,6.088735397,73.72123335,19.51750299,0,28.24796784,30.1771143,50.11034157,32.95068164,18.21817285,7.690148437,114.2077268,92.61700631,17.00467624,6.061520527,42.08477404,15.13726706,35.00620098,23.87237563,4.485882925,102.9589454,33.94594739
ll,53.38958484,9.690280468,20.490725,13.56699903,7.315448583,3.648479754,31.90352447,4.618259352,14.12998651,17.90340214,28.24796784,8.209558513,14.71755933,9.700094448,8.758817397,21.26483908,76.20316113,2.556662141,3.151196437,32.26618566,9.619640872,90.78786726,16.11516017,15.58481643,14.20307508,8.486203907,9.769850355,6.491222848
ma,1.728549723,10.48961207,17.24759356,6.049288033,6.738816061,10.01086757,10.63411012,6.503369211,5.737088749,6.581048912,30.1771143,14.71755933,0,21.60024195,1.103694253,6.677372303,2.824077444,36.26872962,13.60405078,15.0964437,8.745361233,4.094680507,5.30898702,11.06561351,4.747675169,0.614213632,12.52842379,1.847576162
nu,5.640768877,20.83715943,13.94556047,18.60292537,4.619954117,25.33645614,22.08987331,8.045132425,18.98954923,17.30181003,50.11034157,9.700094448,21.60024195,0,10.48813022,7.730152001,14.52223856,51.08446896,74.61888845,18.83727684,7.046488906,20.09785507,23.43705588,13.23551321,1.522517259,81.00499228,20.94881535,34.0154145
nv,6.343321953,10.67123512,6.184098628,3.428242287,0,10.74710175,38.31270719,41.76051571,22.31888857,13.04544326,32.95068164,8.758817397,1.103694253,10.48813022,0,7.310339743,1.454074287,32.70606332,15.92787153,6.575081153,4.484595451,9.019446976,6.095294222,12.98475631,82.38223597,2.92254535,11.09501872,31.96039235
ov,22.03167203,3.401721991,11.94466464,14.61493039,10.13886596,8.323803157,34.56021044,4.843728237,28.09332367,19.59954199,18.21817285,21.26483908,6.677372303,7.730152001,7.310339743,0,11.05397469,27.10906326,8.578616366,4.723197008,7.695643301,6.165872393,10.92367258,5.073395596,5.379320552,7.658427975,16.25730777,20.48510912
pq,17.65930113,15.86535029,7.277067762,25.94334612,7.504021307,29.05436162,6.825490666,3.399865419,25.42044625,11.7197622,7.690148437,76.20316113,2.824077444,14.52223856,1.454074287,11.05397469,0,17.96382065,7.28624964,16.14997393,6.575539568,34.7399175,28.9352518,19.97789574,2.912932803,4.11215816,19.84443749,13.14428998
qn,11.54008365,15.01959944,6.020905151,9.14209695,45.3742124,9.410762664,14.43078817,8.265679864,33.37221256,34.7780444,114.2077268,2.556662141,36.26872962,51.08446896,32.70606332,27.10906326,17.96382065,0,28.35028807,12.96409583,52.34408428,8.946712242,24.7817575,35.1089094,1.197676364,2.708819746,82.42633506,48.28109852
qo,13.00196125,36.0652829,13.54979772,27.58511651,8.252804093,31.61492666,17.11126112,21.22923398,28.06380948,14.09088759,92.61700631,3.151196437,13.60405078,74.61888845,15.92787153,8.578616366,7.28624964,28.35028807,0,5.492520575,0.807024602,5.666825367,15.25573061,13.99386818,3.482478423,12.25600638,19.16153634,2.297921495
rc,11.65992262,24.98629412,3.663777405,11.17590288,5.372926498,16.81125778,15.89413856,1.5808541,1.895409417,5.64941421,17.00467624,32.26618566,15.0964437,18.83727684,6.575081153,4.723197008,16.14997393,12.96409583,5.492520575,0,14.23934592,3.421593236,6.651040309,9.218101025,7.313640718,12.68688713,9.606937135,5.597555437
va,1.84307554,13.16736108,5.774814746,10.9424397,14.21513029,14.10279192,7.770605924,5.063716466,3.888489209,8.050807007,6.061520527,9.619640872,8.745361233,7.046488906,4.484595451,7.695643301,6.575539568,52.34408428,0.807024602,14.23934592,0,4.513599451,21.12230216,18.02037266,2.48373388,13.12028035,17.35470754,3.329391797
wb,23.60440152,32.36147668,10.3705859,7.581442955,19.55493987,27.18954252,17.37176518,9.272855854,22.43833383,26.96286741,42.08477404,90.78786726,4.094680507,20.09785507,9.019446976,6.165872393,34.7399175,8.946712242,5.666825367,3.421593236,4.513599451,0,46.0479028,1.688157753,15.20576727,8.67870477,4.631599523,10.32234441
wr,26.45477903,18.98262493,8.84639824,24.72071118,10.92561145,19.11361132,16.42360241,7.099619503,28.42831821,20.60514428,15.13726706,16.11516017,5.30898702,23.43705588,6.095294222,10.92367258,28.9352518,24.7817575,15.25573061,6.651040309,21.12230216,46.0479028,0,16.56161376,2.93349447,11.67189144,16.16724012,5.336462975
ws,1.285847082,13.54745187,3.378752703,5.830463299,3.25747078,15.93221397,18.0790131,7.229371338,7.776141178,9.298455622,35.00620098,15.58481643,11.06561351,13.23551321,12.98475631,5.073395596,19.97789574,35.1089094,13.99386818,9.218101025,18.02037266,1.688157753,16.56161376,0,7.159435844,3.33580029,15.56233126,11.23523435
xb,2.841637012,18.76619526,12.7872947,12.23898555,0.579834302,3.973754911,101.4581473,43.29576691,12.79405278,4.898281179,23.87237563,14.20307508,4.747675169,1.522517259,82.38223597,5.379320552,2.912932803,1.197676364,3.482478423,7.313640718,2.48373388,15.20576727,2.93349447,7.159435844,0,0.172121154,14.16758756,4.110408421
xd,21.70328741,18.35238904,10.42319491,5.466911864,4.285780919,1.849472191,9.111706343,1.558897793,1.804347826,2.671102033,4.485882925,8.486203907,0.614213632,81.00499228,2.92254535,7.658427975,4.11215816,2.708819746,12.25600638,12.68688713,13.12028035,8.67870477,11.67189144,3.33580029,0.172121154,0,20.52743797,7.016463812
xu,9.731495859,30.08314218,24.81754532,5.387875886,13.55338872,120.4637459,5.862755633,11.59250208,14.33333333,12.68693949,102.9589454,9.769850355,12.52842379,20.94881535,11.09501872,16.25730777,19.84443749,82.42633506,19.16153634,9.606937135,17.35470754,4.631599523,16.16724012,15.56233126,14.16758756,20.52743797,0,21.1386315
zk,3.860713013,6.876717727,17.0664212,9.841258976,7.72316562,40.00188212,28.56358182,25.92197384,23.44369209,16.15925028,33.94594739,6.491222848,1.847576162,34.0154145,31.96039235,20.48510912,13.14428998,48.28109852,2.297921495,5.597555437,3.329391797,10.32234441,5.336462975,11.23523435,4.110408421,7.016463812,21.1386315,0
