Unnamed: 0,V1,V2,V3,V4,V5,V6
V1,0,0,1,0,1,2
V2,0,0,1,2,0,1
V3,1,1,0,0,0,1
V4,0,2,0,0,0,2
V5,1,0,0,0,0,2
V6,2,1,1,2,2,0
