"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,1,0,1,0,0,0,0,0
"2",0,0,0,1,0,0,0,0,0,0
"3",0,4,0,4,0,0,1,2,0,0
"4",0,2,1,0,3,7,1,0,0,1
"5",0,1,3,0,0,0,1,0,0,3
"6",2,3,0,0,0,0,0,1,1,1
"7",5,1,2,0,0,5,0,3,0,3
"8",3,1,9,6,4,3,1,0,3,2
"9",0,6,8,10,1,1,6,3,0,3
"10",1,3,7,2,0,5,5,4,2,0
