"","V1","V2","V3","V4","V5","V6"
"1",0,0,0,1,1,0
"2",0,0,0,0,0,0
"3",1,1,0,6,3,2
"4",1,1,1,0,2,1
"5",1,2,1,0,0,0
"6",3,0,2,1,1,0
