"","V1","V2","V3","V4","V5","V6","V7"
"1",0,20,33,21,24,24,20
"2",20,0,18,15,18,23,16
"3",33,18,0,24,21,26,26
"4",21,15,24,0,16,18,15
"5",24,18,21,16,0,21,18
"6",24,23,26,18,21,0,19
"7",20,16,26,15,18,19,0
