,by,bz,dc,dv,gv,il,ks,mw,oh,oo,qa,qr,sq,vd,xt,zb
by,0,14.35064919,2.784157488,65.8364398,10.65529144,28.18109078,2.851446361,8.572568802,40.33589873,8.521888746,0.583848611,3.226969125,8.129390493,12.26797881,167.8181971,9.74958136
bz,14.35064919,0,1.032786885,63.95449598,1.77986401,36.88736866,40.8433273,88.60081435,16.56720238,25.23108036,11.91867566,22.21581339,8.355388665,27.92267128,116.9757531,73.35652266
dc,2.784157488,1.032786885,0,10.64766528,0.907142857,6.093951008,6.351572884,3.73758698,0.660881958,0,0.351538873,0.996410605,4.827619755,0.199167763,10.25107812,6.266912369
dv,65.8364398,63.95449598,10.64766528,0,23.79492191,27.82348413,2.103295528,15.41321468,24.8667222,18.20577564,26.0852867,43.30617152,7.852356728,21.39360661,50.22480609,15.77744923
gv,10.65529144,1.77986401,0.907142857,23.79492191,0,22.78752183,4.792857143,6.657862282,15.09070294,1.472816033,0.436133419,0.957142857,11.4331422,32.5017069,30.06785652,5.976938923
il,28.18109078,36.88736866,6.093951008,27.82348413,22.78752183,0,15.25604328,29.96481311,30.71822701,37.19236075,28.64703059,5.986038144,92.82439491,29.89172653,19.70991777,35.23576362
ks,2.851446361,40.8433273,6.351572884,2.103295528,4.792857143,15.25604328,0,28.19832782,5.423255654,26.26929808,9.847273295,33.55557689,0,6.950482011,17.12850554,26.62746346
mw,8.572568802,88.60081435,3.73758698,15.41321468,6.657862282,29.96481311,28.19832782,0,16.60698959,53.04316547,30.52528444,38.76624022,4.574448469,17.40946016,16.73073176,55.76191724
oh,40.33589873,16.56720238,0.660881958,24.8667222,15.09070294,30.71822701,5.423255654,16.60698959,0,34.30084499,79.07560316,53.13911144,8.881432934,20.24971652,23.78254468,22.87429337
oo,8.521888746,25.23108036,0,18.20577564,1.472816033,37.19236075,26.26929808,53.04316547,34.30084499,0,3.874984027,4.004381898,16.70318378,21.34928612,29.54838284,36.77874655
qa,0.583848611,11.91867566,0.351538873,26.0852867,0.436133419,28.64703059,9.847273295,30.52528444,79.07560316,3.874984027,0,1.229248368,12.41018657,13.68141188,24.8796189,60.5776583
qr,3.226969125,22.21581339,0.996410605,43.30617152,0.957142857,5.986038144,33.55557689,38.76624022,53.13911144,4.004381898,1.229248368,0,3.759220665,13.88405125,12.32443422,24.5985503
sq,8.129390493,8.355388665,4.827619755,7.852356728,11.4331422,92.82439491,0,4.574448469,8.881432934,16.70318378,12.41018657,3.759220665,0,58.33741689,1.936221605,5.900781037
vd,12.26797881,27.92267128,0.199167763,21.39360661,32.5017069,29.89172653,6.950482011,17.40946016,20.24971652,21.34928612,13.68141188,13.88405125,58.33741689,0,13.97019597,24.16304947
xt,167.8181971,116.9757531,10.25107812,50.22480609,30.06785652,19.70991777,17.12850554,16.73073176,23.78254468,29.54838284,24.8796189,12.32443422,1.936221605,13.97019597,0,13.99213596
zb,9.74958136,73.35652266,6.266912369,15.77744923,5.976938923,35.23576362,26.62746346,55.76191724,22.87429337,36.77874655,60.5776583,24.5985503,5.900781037,24.16304947,13.99213596,0
