,ID10,ID17,ID24,ID34,ID68,ID78
ID10,0,0.012,0.0039,0.0413,0.0211,0.004
ID17,0.02,0,0.0906,0.0607,0,0.0119
ID24,0.0039,0.0551,0,0.0117,0.0078,0.0739
ID34,0.0289,0.0283,0.0039,0,0,0.004
ID68,0.0042,0,0.0039,0,0,0.004
ID78,0,0.0277,0.0934,0.0198,0.008,0
