"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,2,2,4,3,5,3,4,3
"4",0,0,2,0,2,3,9,8,3,3,3
"5",0,0,2,2,0,6,7,7,7,7,6
"6",0,0,4,3,6,0,11,18,15,13,13
"7",0,0,3,9,7,11,0,25,12,17,10
"8",0,0,5,8,7,18,25,0,19,22,19
"9",0,0,3,3,7,15,12,19,0,22,21
"10",0,0,4,3,7,13,17,22,22,0,23
"11",0,0,3,3,6,13,10,19,21,23,0
