Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9
V1,0,26,40,43,48,38,42,43,44
V2,26,0,34,38,43,40,41,43,44
V3,40,34,0,61,76,59,64,60,60
V4,43,38,61,0,63,56,54,59,64
V5,48,43,76,63,0,70,73,66,68
V6,38,40,59,56,70,0,64,63,57
V7,42,41,64,54,73,64,0,67,62
V8,43,43,60,59,66,63,67,0,60
V9,44,44,60,64,68,57,62,60,0
