"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,1,0,1,2,0,2,0,6
"2",0,0,1,0,0,0,0,1,0,0
"3",1,1,0,0,0,0,0,0,1,1
"4",2,0,0,0,0,1,0,1,0,2
"5",1,0,0,1,0,2,1,1,0,1
"6",0,0,2,1,1,0,1,1,0,0
"7",0,0,6,1,0,0,0,4,2,3
"8",1,1,1,2,3,2,0,0,2,6
"9",10,5,24,24,16,16,3,4,0,6
"10",3,1,7,24,7,8,5,17,4,0
