Unnamed: 0,V1,V2,V3,V4,V5,V6
V1,0,20,18,36,35,26
V2,20,0,31,34,42,42
V3,18,31,0,39,34,37
V4,36,34,39,0,78,72
V5,35,42,34,78,0,67
V6,26,42,37,72,67,0
