,bd,cb,ct,ds,ed,ev,gw,id,jr,lb,lh,ll,ma,nu,nv,ov,pq,qn,qo,rc,va,wb,wr,ws,xb,xd,xu,zk
bd,0,7.144273009,7.207945512,0.745759912,4.856040022,8.326262034,0.714852485,1.185906534,1.392468944,17.75892964,2.59009231,39.15973448,0.708548657,6.020014405,0.503887129,1.629019517,5.073548304,0.079669372,11.15013847,0.924337757,0.147096608,1.825621065,3.811857657,0.605842889,0.275750298,0.209008213,1.461050725,0.633394003
cb,7.144273009,0,5.894257139,3.831195058,1.021907661,2.480417572,11.17839408,1.719910711,12.79963998,8.976111539,8.035347679,10.53906137,4.19333567,7.581071941,10.6985975,0.51179009,3.660627723,1.643779101,27.43899101,13.23024452,3.221243084,20.94921347,7.425271601,16.26780911,15.39603651,7.063977745,25.46861578,7.895829837
ct,7.207945512,5.894257139,0,1.548831038,3.221815972,10.85475968,4.38500751,6.615196673,2.58979089,9.429833985,4.109651748,20.046504,1.136201342,3.58460507,3.707169594,4.091805541,6.110435244,2.430419259,4.204585547,0.539005026,1.694922946,1.765937024,10.25819892,2.458920121,1.116779136,0.972030304,6.555606402,4.083315323
ds,0.745759912,3.831195058,1.548831038,0,6.73335686,34.5835593,2.831718248,2.707546537,9.88201494,6.553630102,31.04222332,11.10550215,3.183794036,1.767527442,1.617993305,4.994162976,3.500104586,8.296717872,22.26194983,1.989746755,3.379368047,8.396660774,5.418882515,18.89268221,3.885613151,5.807708443,10.02459299,0.409285326
ed,4.856040022,1.021907661,3.221815972,6.73335686,0,9.031061471,0.386919767,0.541588905,1.71593684,3.565737099,1.619299305,10.85964328,1.954541114,3.327379452,0.158364526,1.356812479,1.41362399,7.522226344,3.979914708,6.036829272,9.644108656,5.058097749,1.089870104,4.286558219,0.689147988,0,2.804793732,3.73573945
ev,8.326262034,2.480417572,10.85475968,34.5835593,9.031061471,0,10.6480751,6.517516184,34.1746858,14.11065065,20.62283232,3.107491368,1.482410702,25.20288924,8.606342617,8.222164045,8.584675906,4.743358754,68.21061746,8.47958102,5.946636449,24.5242019,3.693692928,5.407611525,1.61847665,3.316859498,140.3001311,42.39261527
gw,0.714852485,11.17839408,4.38500751,2.831718248,0.386919767,10.6480751,0,11.36598679,6.192126395,7.107735583,18.44659814,32.13790261,5.47672668,9.503929013,38.34149044,16.75119565,1.658779532,7.171058268,10.34900792,5.043959827,1.831600742,5.134963641,4.873061384,23.05799891,92.69566563,0.81631855,1.746235519,35.86762318
id,1.185906534,1.719910711,6.615196673,2.707546537,0.541588905,6.517516184,11.36598679,0,16.15133544,2.241277891,1.114870349,2.503280115,0.533345102,2.26717402,31.95182692,11.24849736,0.256156914,0.43564915,16.54850832,1.008722419,0.297828089,7.276025648,2.553599584,0.640478238,24.09465429,0,2.260066092,10.77912469
jr,1.392468944,12.79963998,2.58979089,9.88201494,1.71593684,34.1746858,6.192126395,16.15133544,0,12.35093422,39.39446059,5.402536892,7.502294326,27.77090035,16.03320856,7.090340059,4.770514024,5.48739759,8.399753928,4.575933313,3.871963299,7.633355873,13.43900532,3.963476471,5.112980492,0.224637681,7.043478261,2.063791875
lb,17.75892964,8.976111539,9.429833985,6.553630102,3.565737099,14.11065065,7.107735583,2.241277891,12.35093422,0,16.6324878,15.85604854,0.254329883,7.43125442,5.124468791,5.809467612,3.093672697,8.091504255,4.256545918,2.173312354,0.776982299,10.29439624,8.683853085,5.793455757,3.047978772,2.274446971,7.604919316,1.137982269
lh,2.59009231,8.035347679,4.109651748,31.04222332,1.619299305,20.62283232,18.44659814,1.114870349,39.39446059,16.6324878,0,3.008096979,10.58608088,38.28430801,14.96181874,26.78693295,1.947949724,71.1023256,66.82634804,6.277466282,7.126023719,36.61432528,15.02460022,14.57899353,3.71484969,2.577805807,112.3294445,30.59708174
ll,39.15973448,10.53906137,20.046504,11.10550215,10.85964328,3.107491368,32.13790261,2.503280115,5.402536892,15.85604854,3.008096979,0,1.870596952,2.000749534,14.2117032,5.859845425,28.85743366,0.363844958,0.881641764,11.72410427,1.771092225,77.06803219,14.74062803,3.266360867,8.781722708,7.129543536,3.880611267,4.378047819
ma,0.708548657,4.19333567,1.136201342,3.183794036,1.954541114,1.482410702,5.47672668,0.533345102,7.502294326,0.254329883,10.58608088,1.870596952,0,1.270920848,0.101899702,0.732447267,1.215433563,8.285541489,1.810582878,3.75054775,3.328208676,0.813963911,1.836049873,9.244229492,0,0,1.255521413,0.187883606
nu,6.020014405,7.581071941,3.58460507,1.767527442,3.327379452,25.20288924,9.503929013,2.26717402,27.77090035,7.43125442,38.28430801,2.000749534,1.270920848,0,2.400492904,5.32679047,4.075083515,23.91586166,41.05598048,21.05653234,3.819342966,10.8277009,10.25943054,11.2850397,4.812220602,75.437107,18.30616197,10.9925255
nv,0.503887129,10.6985975,3.707169594,1.617993305,0.158364526,8.606342617,38.34149044,31.95182692,16.03320856,5.124468791,14.96181874,14.2117032,0.101899702,2.400492904,0,1.343342855,0.086380651,5.634930257,9.092459916,3.574934604,1.202130723,0.884266879,6.052381475,8.469299445,76.928452,3.346271658,6.935694404,21.93037153
ov,1.629019517,0.51179009,4.091805541,4.994162976,1.356812479,8.222164045,16.75119565,11.24849736,7.090340059,5.809467612,26.78693295,5.859845425,0.732447267,5.32679047,1.343342855,0,2.371058559,26.60124914,3.729858802,2.69151573,4.510791367,6.377969915,6.892283607,2.365843606,4.181109703,5.200405925,4.674308461,5.863038681
pq,5.073548304,3.660627723,6.110435244,3.500104586,1.41362399,8.584675906,1.658779532,0.256156914,4.770514024,3.093672697,1.947949724,28.85743366,1.215433563,4.075083515,0.086380651,2.371058559,0,5.121931753,0.792101055,6.828467604,0.877697842,16.53876419,8.467625899,5.252819479,0.667758017,0.42380295,6.67761443,5.53548665
qn,0.079669372,1.643779101,2.430419259,8.296717872,7.522226344,4.743358754,7.171058268,0.43564915,5.48739759,8.091504255,71.1023256,0.363844958,8.285541489,23.91586166,5.634930257,26.60124914,5.121931753,0,35.10520989,14.32074744,26.07235297,2.497606271,13.72125213,26.21279168,4.436655652,0.799069861,58.306971,31.63788311
qo,11.15013847,27.43899101,4.204585547,22.26194983,3.979914708,68.21061746,10.34900792,16.54850832,8.399753928,4.256545918,66.82634804,0.881641764,1.810582878,41.05598048,9.092459916,3.729858802,0.792101055,35.10520989,0,3.101394902,0.525179856,5.166757439,8.431092658,3.583212723,0.864802537,0.770640346,1.869565217,1.59513845
rc,0.924337757,13.23024452,0.539005026,1.989746755,6.036829272,8.47958102,5.043959827,1.008722419,4.575933313,2.173312354,6.277466282,11.72410427,3.75054775,21.05653234,3.574934604,2.69151573,6.828467604,14.32074744,3.101394902,0,3.763379659,1.400358015,1.11718035,3.341678693,2.060207598,6.934906266,8.230959405,8.580626464
va,0.147096608,3.221243084,1.694922946,3.379368047,9.644108656,5.946636449,1.831600742,0.297828089,3.871963299,0.776982299,7.126023719,1.771092225,3.328208676,3.819342966,1.202130723,4.510791367,0.877697842,26.07235297,0.525179856,3.763379659,0,7.906178172,3.165467626,2.2799549,1.901338015,0.429212603,12.42253154,1.673054144
wb,1.825621065,20.94921347,1.765937024,8.396660774,5.058097749,24.5242019,5.134963641,7.276025648,7.633355873,10.29439624,36.61432528,77.06803219,0.813963911,10.8277009,0.884266879,6.377969915,16.53876419,2.497606271,5.166757439,1.400358015,7.906178172,0,18.08208302,0.897956252,1.443495919,4.30311726,4.759776141,2.334125591
wr,3.811857657,7.425271601,10.25819892,5.418882515,1.089870104,3.693692928,4.873061384,2.553599584,13.43900532,8.683853085,15.02460022,14.74062803,1.836049873,10.25943054,6.052381475,6.892283607,8.467625899,13.72125213,8.431092658,1.11718035,3.165467626,18.08208302,0,8.326789093,1.696197048,3.287769784,5.082942342,0.675392402
ws,0.605842889,16.26780911,2.458920121,18.89268221,4.286558219,5.407611525,23.05799891,0.640478238,3.963476471,5.793455757,14.57899353,3.266360867,9.244229492,11.2850397,8.469299445,2.365843606,5.252819479,26.21279168,3.583212723,3.341678693,2.2799549,0.897956252,8.326789093,0,0.852164124,3.459200422,1.577802965,3.971611618
xb,0.275750298,15.39603651,1.116779136,3.885613151,0.689147988,1.61847665,92.69566563,24.09465429,5.112980492,3.047978772,3.71484969,8.781722708,0,4.812220602,76.928452,4.181109703,0.667758017,4.436655652,0.864802537,2.060207598,1.901338015,1.443495919,1.696197048,0.852164124,0,0,1.523390011,3.576964554
xd,0.209008213,7.063977745,0.972030304,5.807708443,0,3.316859498,0.81631855,0,0.224637681,2.274446971,2.577805807,7.129543536,0,75.437107,3.346271658,5.200405925,0.42380295,0.799069861,0.770640346,6.934906266,0.429212603,4.30311726,3.287769784,3.459200422,0,0,4.204335603,3.108099264
xu,1.461050725,25.46861578,6.555606402,10.02459299,2.804793732,140.3001311,1.746235519,2.260066092,7.043478261,7.604919316,112.3294445,3.880611267,1.255521413,18.30616197,6.935694404,4.674308461,6.67761443,58.306971,1.869565217,8.230959405,12.42253154,4.759776141,5.082942342,1.577802965,1.523390011,4.204335603,0,9.75445474
zk,0.633394003,7.895829837,4.083315323,0.409285326,3.73573945,42.39261527,35.86762318,10.77912469,2.063791875,1.137982269,30.59708174,4.378047819,0.187883606,10.9925255,21.93037153,5.863038681,5.53548665,31.63788311,1.59513845,8.580626464,1.673054144,2.334125591,0.675392402,3.971611618,3.576964554,3.108099264,9.75445474,0
