"","V1","V2","V3","V4","V5","V6"
"1",0,1,2,2,1,1
"2",1,0,6,5,4,7
"3",2,6,0,42,33,44
"4",2,5,42,0,31,41
"5",1,4,33,31,0,24
"6",1,7,44,41,24,0
