"","V1","V2","V3","V4","V5","V6"
"1",0,0,2,0,0,0
"2",0,0,1,2,0,3
"3",0,3,0,1,0,0
"4",7,1,2,0,6,1
"5",1,3,2,10,0,3
"6",2,5,4,5,6,0
