,1,2,3,4,5,6,7,8
1,0,7,5,6,7,3,6,5
2,0,0,5,6,7,7,4,4
3,0,0,0,9,9,7,11,11
4,0,0,0,0,8,9,7,8
5,0,0,0,0,0,8,7,8
6,0,0,0,0,0,0,6,8
7,0,0,0,0,0,0,0,7
8,0,0,0,0,0,0,0,0
