Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
V1,0,1,2,4,4,5,1,1,2,1,6,2,2,16,2
V2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3,0,0,0,2,1,2,0,1,1,0,5,3,3,7,0
V4,0,0,0,0,0,1,0,0,2,0,2,0,1,1,1
V5,0,1,0,2,0,4,0,0,1,2,1,0,0,9,0
V6,0,0,0,0,0,0,1,0,1,1,0,0,2,7,0
V7,0,0,0,0,0,0,0,1,2,9,6,1,1,8,3
V8,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
V9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
V10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
V11,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0
V12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
V13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
V14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
V15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
