Unnamed: 0,V1,V2,V3,V4,V5,V6
V1,0,14,15,14,11,15
V2,14,0,23,29,30,25
V3,15,23,0,42,34,34
V4,14,29,42,0,37,30
V5,11,30,34,37,0,26
V6,15,25,34,30,26,0
