"","V1","V2","V3","V4","V5","V6"
"1",0,7,8,8,7,6
"2",7,0,17,12,13,16
"3",8,17,0,25,18,19
"4",8,12,25,0,14,19
"5",7,13,18,14,0,7
"6",6,16,19,19,7,0
