"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,0,2,1,1,0,0,0,0,0,0,0,0,0,1
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"4",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"5",0,2,1,5,0,0,0,0,0,0,1,0,1,0,0
"6",0,0,3,0,0,0,1,0,3,0,0,0,0,2,2
"7",0,0,3,2,1,2,0,1,0,2,2,0,1,3,0
"8",1,0,0,0,0,0,0,0,0,2,1,0,0,0,1
"9",2,0,0,2,3,1,0,0,0,0,1,1,1,0,1
"10",1,0,0,1,4,0,0,0,0,0,0,1,1,0,0
"11",4,0,0,0,1,0,0,0,3,1,1,2,1,4,0
"12",4,0,1,1,0,0,0,0,0,0,1,0,0,3,0
"13",1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"14",11,2,4,1,4,6,0,0,2,0,1,0,0,0,1
"15",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
