"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,2,3,1,5,3,4,3,5,0
"2",2,0,5,2,4,4,4,1,2,1
"3",3,5,0,3,6,3,4,2,2,1
"4",1,2,3,0,6,6,3,3,6,2
"5",5,4,6,6,0,5,6,5,5,2
"6",3,4,3,6,5,0,6,2,6,4
"7",4,4,4,3,6,6,0,3,3,3
"8",3,1,2,3,5,2,3,0,1,1
"9",5,2,2,6,5,6,3,1,0,3
"10",0,1,1,2,2,4,3,1,3,0
