"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,23,34,30,35,37,47,31
"2",23,0,30,28,30,34,41,30
"3",34,30,0,42,57,55,65,40
"4",30,28,42,0,57,52,67,47
"5",35,30,57,57,0,70,79,51
"6",37,34,55,52,70,0,79,45
"7",47,41,65,67,79,79,0,50
"8",31,30,40,47,51,45,50,0
