"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,1,1,0,0,0,0
"2",0,0,0,0,0,0,0,0,0
"3",2,5,0,4,1,1,0,1,0
"4",0,0,2,0,3,3,3,0,0
"5",6,5,6,2,0,1,5,1,1
"6",3,1,2,6,2,0,2,0,1
"7",1,5,0,0,2,2,0,0,0
"8",0,2,7,2,1,3,0,0,1
"9",1,3,7,4,1,0,3,1,0
