"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,8,6,7,6,3,5,5,5
"2",8,0,4,7,7,3,4,6,4
"3",6,4,0,4,5,3,4,4,3
"4",7,7,4,0,5,4,6,4,6
"5",6,7,5,5,0,4,5,6,7
"6",3,3,3,4,4,0,4,3,4
"7",5,4,4,6,5,4,0,4,6
"8",5,6,4,4,6,3,4,0,5
"9",5,4,3,6,7,4,6,5,0
