,LEO,GAR,MAR,MER,NER,JA,LEON,TAR
LEO,0,0,0,0.1171875,0,0.17578125,0.64453125,0.17578125
GAR,0.17578125,0,0,0,0,0.05859375,0,0
MAR,0.17578125,0.234375,0,0.29296875,0.1171875,0.05859375,0,0.29296875
MER,0.52734375,0.05859375,0.99609375,0,0,0.05859375,0.1171875,0.1171875
NER,0.46875,0,0.3515625,0,0,1.34765625,0,0.1171875
JA,0.5859375,0.17578125,0.29296875,0.05859375,0.17578125,0,0.41015625,0
LEON,0.17578125,0,0,0.17578125,0,0,0,0
TAR,0.29296875,0,0,0.3515625,0,0,0.99609375,0
