Unnamed: 0,V1,V2,V3,V4,V5,V6,V7
V1,0,32,32,26,31,32,31
V2,32,0,45,35,40,38,36
V3,32,45,0,48,62,61,56
V4,26,35,48,0,55,63,58
V5,31,40,62,55,0,60,55
V6,32,38,61,63,60,0,67
V7,31,36,56,58,55,67,0
