Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
V1,0,2,3,1,5,3,4,3,5,0
V2,2,0,5,2,4,4,4,1,2,1
V3,3,5,0,3,6,3,4,2,2,1
V4,1,2,3,0,6,6,3,3,6,2
V5,5,4,6,6,0,5,6,5,5,2
V6,3,4,3,6,5,0,6,2,6,4
V7,4,4,4,3,6,6,0,3,3,3
V8,3,1,2,3,5,2,3,0,1,1
V9,5,2,2,6,5,6,3,1,0,3
V10,0,1,1,2,2,4,3,1,3,0
