"","FS1","FS2","FS3","FS4","MS16","MS18"
"FS1",0,0,1.528532608,0,0,1.975045942
"FS2",0,0,3.521412302,0,0,1.15098172
"FS3",0.390631202,1.627630012,0,0.743111464,0.398358694,2.261533307
"FS4",1.933240245,0.179366088,0,0,0,3.475168627
"MS16",0,0,0.226800577,0,0,1.188237306
"MS18",0,1.874776448,0.212640168,1.624915368,0,0
