"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,29,27,11,11,18,18,13
"2",29,0,12,14,12,20,29,23
"3",27,12,0,23,19,24,19,16
"4",11,14,23,0,18,24,16,19
"5",11,12,19,18,0,14,13,7
"6",18,20,24,24,14,0,15,20
"7",18,29,19,16,13,15,0,17
"8",13,23,16,19,7,20,17,0
