"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,5,0,0,1,0,0,0
"2",0,0,0,0,0,0,0,1
"3",0,1,0,3,3,0,0,2
"4",0,1,1,0,0,2,1,0
"5",0,1,2,0,0,0,0,1
"6",0,2,2,2,4,0,1,2
"7",2,1,0,0,2,0,0,0
"8",1,1,0,0,5,0,0,0
