,by,bz,dc,dv,gv,il,ks,mw,oh,oo,qa,qr,sq,vd,xt,zb
by,3.515350363,44.38352152,5.722990391,78.4096727,30.44474706,53.68557145,18.33382844,7.660712208,66.34412733,18.40002158,13.3291127,41.47383028,28.21011623,8.442561552,227.7555799,33.64342138
bz,44.38352152,0,5.393442623,67.94437976,7.390992325,74.43357385,78.59478564,84.53389974,16.9118851,49.82763987,24.30867502,43.93910626,32.51312836,42.8521651,141.1446019,101.6212675
dc,5.722990391,5.393442623,0,9.757977015,0.635714286,19.24533069,2.798404962,2.951291426,6.66795376,4.316546763,12.04266773,6.879368941,9.222143367,1.059857026,3.566723688,0.937009265
dv,78.4096727,67.94437976,9.757977015,1.224518854,27.3103857,54.8937473,10.04824189,19.98791871,46.85604232,13.51880322,55.9531447,69.54053641,14.45811468,19.12490186,79.90687258,71.51563112
gv,30.44474706,7.390992325,0.635714286,27.3103857,0,25.00152702,4.834555985,40.17610483,28.75329815,26.79635149,4.752145495,8.685611757,12.25210518,31.45104207,52.44170894,7.069645545
il,53.68557145,74.43357385,19.24533069,54.8937473,25.00152702,0,41.67538027,45.86255834,59.10519075,73.67839541,92.09679287,19.74029999,76.93803728,74.75274388,33.94343814,75.07874761
ks,18.33382844,78.59478564,2.798404962,10.04824189,4.834555985,41.67538027,0,54.34687925,14.99157309,49.68471709,29.89335423,36.19143774,1.459459459,55.25109557,50.19139869,82.31655013
mw,7.660712208,84.53389974,2.951291426,19.98791871,40.17610483,45.86255834,54.34687925,0,50.47512845,79.41726619,26.3604376,61.26333771,18.55527482,38.9896161,54.25063206,74.28936379
oh,66.34412733,16.9118851,6.66795376,46.85604232,28.75329815,59.10519075,14.99157309,50.47512845,0.664749422,98.62818566,52.55532076,65.52411318,11.13358843,22.92020854,48.30451643,50.24245474
oo,18.40002158,49.82763987,4.316546763,13.51880322,26.79635149,73.67839541,49.68471709,79.41726619,98.62818566,0,14.1480659,23.16968306,73.96673487,62.05882537,55.153065,49.36010293
qa,13.3291127,24.30867502,12.04266773,55.9531447,4.752145495,92.09679287,29.89335423,26.3604376,52.55532076,14.1480659,0,5.332130579,28.99489951,26.38921317,30.28247653,70.27272153
qr,41.47383028,43.93910626,6.879368941,69.54053641,8.685611757,19.74029999,36.19143774,61.26333771,65.52411318,23.16968306,5.332130579,6.798543169,6.496295416,19.26387537,35.59245101,30.10383181
sq,28.21011623,32.51312836,9.222143367,14.45811468,12.25210518,76.93803728,1.459459459,18.55527482,11.13358843,73.96673487,28.99489951,6.496295416,0,114.6986269,18.88413541,24.73860147
vd,8.442561552,42.8521651,1.059857026,19.12490186,31.45104207,74.75274388,55.25109557,38.9896161,22.92020854,62.05882537,26.38921317,19.26387537,114.6986269,0,30.74127511,33.46257603
xt,227.7555799,141.1446019,3.566723688,79.90687258,52.44170894,33.94343814,50.19139869,54.25063206,48.30451643,55.153065,30.28247653,35.59245101,18.88413541,30.74127511,0,96.49268068
zb,33.64342138,101.6212675,0.937009265,71.51563112,7.069645545,75.07874761,82.31655013,74.28936379,50.24245474,49.36010293,70.27272153,30.10383181,24.73860147,33.46257603,96.49268068,0
