,1,2,3,4,5,6,7,8
1,0,6,11,8,8,7,9,10
2,0,0,10,9,9,8,12,10
3,0,0,0,10,9,7,8,11
4,0,0,0,0,7,10,12,10
5,0,0,0,0,0,10,12,10
6,0,0,0,0,0,0,14,13
7,0,0,0,0,0,0,0,12
8,0,0,0,0,0,0,0,0
