"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0
"3",0,0,0,5,5,3,3,3,3
"4",0,0,5,0,6,7,6,6,7
"5",0,0,5,6,0,6,6,10,7
"6",0,0,3,7,6,0,6,7,8
"7",0,0,3,6,6,6,0,7,6
"8",0,0,3,6,10,7,7,0,5
"9",0,0,3,7,7,8,6,5,0
