,013C,0A37,1A7B,1B6D,1E4A,2E+69,203,2317,2325,271,276F,285B,2A04,3129,3209,3A3D,3B0B,3B3C,3B4F,4220,431D,435,443B,4835,4A2D,4B08,4C3A,5234,5741,5750,592B,5B48,6217,6878,6D2C,6E5A,7075,754D,7610,842
5750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099026226,0,0,0,0,0,0,0,0,0,0,0.222959869,0,0,0,1,0,0,0,0,0.190017361,0,0,0,0,0
592B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493333333,0,0,0,0,0,0,0.924220806,0.006466356,0,0,1,0,0,0,0,0,0,0,0,0
5B48,0.356902208,0,0,0,0.097192308,0,0,0,0,0,0,0,0,0,0,0,0.007646356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6217,0,0.008786202,0,0,0,0,0,0,0,0,0,0,0.071136292,0,0,0,0,0,0,0,0,0,0,0.288501453,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6878,0,0,0,0,0,0.003214787,0,0,0,0.075989555,0,0,0,0,0,0,0.112774829,0,0.019642857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6D2C,0,0,0,0,0,0,0.386804948,0.812334354,0.020903726,0,0.153334773,0,0,0,0.543169447,0,0,0.053634405,0,0,0,0,0,0,0,0.997631324,0,0,0,0.907998537,0,0,0,0,1,0,0,0,0,0
6E5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299876932,0,0,0,0,0,0.679337102,0,0,0,0,0,0,0,1,0,0,0,0
7075,0,0,0.015310038,0,0,0,0,0,0.375085268,0,0.323459523,0,0,0,0.103304172,0,0,0.271972378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
754D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002637587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7610,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053817252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15382157,0,0,0,0,0,0,0,0,0,1,0
842,0,0,0.371211359,0,0,0.245769971,0,0,0,0.151027948,0.01304449,0,0,0,0,0,0.052239459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
