Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
V1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
V2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
V3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
V5,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0
V6,0,0,0,0,0,0,0,1,0,0,1,0,4,2,0
V7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
V10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
V15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
