"","MS11","FS1","MS20","FS5","FS10","MS26"
"MS11",0,0.017985611,1.899917764,0,0,1.28021707
"FS1",0.284397482,0,0,0,0,0.428587888
"MS20",0.967651511,0,0,0,0.458597298,0
"FS5",0,0.414524043,0,0,3.388060593,0
"FS10",0.06294964,0,0,7.263163491,0,0
"MS26",0,0,0.220769611,0,0.50074001,0
