Unnamed: 0,1,2,3,4,5,6,7,8,9
1,0,1,2,5,9,4,10,4,40
2,1,0,6,6,4,1,5,4,21
3,1,0,0,1,3,3,1,0,19
4,0,0,0,0,1,0,0,1,2
5,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,4,0
7,0,0,0,0,0,2,0,0,0
8,0,0,0,1,0,2,0,0,0
9,0,0,0,0,1,0,0,0,0
