"","V1","V2","V3","V4","V5","V6"
"1",0,0,1,0,1,2
"2",0,0,1,2,0,1
"3",1,1,0,0,0,1
"4",0,2,0,0,0,2
"5",1,0,0,0,0,2
"6",2,1,1,2,2,0
