"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,19,51,44,60,37,57,32,26,35,43,44,38,51,24
"2",19,0,22,26,24,28,28,24,23,21,31,23,18,27,24
"3",51,22,0,43,48,27,47,29,30,41,44,42,25,40,28
"4",44,26,43,0,69,58,57,46,35,45,58,43,32,39,26
"5",60,24,48,69,0,67,71,46,47,45,57,43,30,63,43
"6",37,28,27,58,67,0,67,51,48,45,52,42,33,60,30
"7",57,28,47,57,71,67,0,52,39,59,66,52,41,71,52
"8",32,24,29,46,46,51,52,0,45,47,53,48,34,55,45
"9",26,23,30,35,47,48,39,45,0,34,47,35,26,35,22
"10",35,21,41,45,45,45,59,47,34,0,52,46,54,63,49
"11",43,31,44,58,57,52,66,53,47,52,0,55,34,61,45
"12",44,23,42,43,43,42,52,48,35,46,55,0,25,51,36
"13",38,18,25,32,30,33,41,34,26,54,34,25,0,38,34
"14",51,27,40,39,63,60,71,55,35,63,61,51,38,0,46
"15",24,24,28,26,43,30,52,45,22,49,45,36,34,46,0
