,ID14,ID22,ID42,ID46,ID46
ID14,0,0.01635514,0.070257611,0.028235294,0
ID22,0.021028037,0,0.023752969,0.081927711,0
ID42,0.079625293,0.047505938,0,0,0.002320186
ID46,0.011764706,0.019277108,0,0,0.158878505
ID46,0.00228833,0,0.011600928,0.025700935,0
