"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,1,2,4,4,1,2,0,1
"2",2,0,0,0,0,0,0,0,0
"3",0,0,0,0,1,0,0,0,1
"4",0,0,0,0,2,1,2,4,1
"5",0,0,0,0,0,4,2,1,1
"6",0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,1,0,0,0
"8",0,0,0,0,0,2,0,0,0
"9",0,0,0,0,0,0,0,0,0
