Pride,BF,CS,GU,KB,LL,MK,MS,NB,NW,PN,S#,SB,TR
BF,,0,4,0,0,2,0,6,0,0,2,3,0
CS,0,,0,0,5,0,15,0,0,7,0,0,9
GU,4,0,,2,0,0,0,0,4,0,2,0,0
KB,0,0,2,,0,2,9,0,0,0,0,0,0
LL,0,5,0,0,,0,4,0,0,0,0,0,0
MK,2,0,0,2,0,,5,1,0,2,0,0,0
MS,0,15,0,9,4,5,,0,0,7,0,0,7
NB,6,0,0,0,0,1,0,,0,0,0,0,0
NW,0,0,4,0,0,0,0,0,,0,0,0,1
PN,0,7,0,0,0,2,7,0,0,,0,1,0
S#,2,0,2,0,0,0,0,0,0,0,,0,0
SB,3,0,0,0,0,0,0,0,0,1,0,,0
TR,0,9,0,0,0,0,7,0,1,0,0,0,
