,ID10,ID66,ID71,ID73,ID74,ID84
ID10,0,0.024163569,0.016977929,0,0,0
ID66,0.003717472,0,0.008278146,0,0,0.017921147
ID71,0.028862479,0.008278146,0,0.001724138,0,0.02529511
ID73,0,0.005882353,0,0,0.016427105,0.003868472
ID74,0.005444646,0,0.003294893,0.004106776,0,0.001808318
ID84,0,0.012544803,0.006745363,0.005802708,0.005424955,0
