,Camila,Tania,Lisala,Limbe,Mirinda,Lolaya,Nefertari
Camila,0,1293,243,79,0,0,0
Tania,265,0,36,0,0,121,0
Lisala,631,948,0,0,0,134,0
Limbe,1411,200,879,0,0,0,0
Mirinda,49,0,0,0,0,0,0
Lolaya,0,2334,579,0,0,0,0
Nefertari,0,0,0,0,0,0,0
