"","V1","V2","V3","V4","V5","V6"
"1",0,0,0,0,0,0
"2",0,0,0,0,0,0
"3",0,0,0,0,0,0
"4",0,0,0,0,23,20
"5",0,0,0,23,0,22
"6",0,0,0,20,22,0
