Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9
V1,0,0,0,2,0,0,0,0,0
V2,0,0,2,1,0,0,2,0,0
V3,0,2,0,1,0,1,0,0,0
V4,0,3,2,0,2,1,2,3,1
V5,3,7,5,2,0,0,0,4,0
V6,0,1,3,3,1,0,0,1,0
V7,0,12,9,4,0,0,0,0,0
V8,6,9,10,2,0,3,10,0,0
V9,1,4,4,3,1,1,4,3,0
