Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
V1,0,0,0,0,0,0,1,0,0,0
V2,0,0,0,0,0,1,0,0,1,0
V3,0,0,0,0,1,0,1,0,2,1
V4,0,0,0,0,2,5,2,4,2,3
V5,0,0,1,2,0,1,4,3,3,4
V6,0,1,0,5,1,0,10,10,8,13
V7,1,0,1,2,4,10,0,6,10,15
V8,0,0,0,4,3,10,6,0,9,12
V9,0,1,2,2,3,8,10,9,0,12
V10,0,0,1,3,4,13,15,12,12,0
