,ID5,ID8,ID25,ID32,ID63
ID5,0,0.015243902,0.052980132,0.020710059,0.059936909
ID8,0.024390244,0,0.015974441,0.002967359,0.012269939
ID25,0.052980132,0.003194888,0,0.01497006,0.02295082
ID32,0.01183432,0.002967359,0.047904192,0,0.020710059
ID63,0.078864353,0.009202454,0.02295082,0.017751479,0
