"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0,0,8,0,1,8,5,2,1,0
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,1,1,0,4,0,0,0,1
"4",0,0,0,0,0,0,1,0,0,0,0
"5",0,0,0,0,0,2,1,0,3,0,1
"6",0,0,0,0,0,0,1,0,0,0,0
"7",0,0,0,0,0,0,0,3,1,5,2
"8",0,0,0,0,0,0,0,0,3,1,1
"9",0,0,0,0,0,0,0,0,0,2,1
"10",0,0,0,0,0,0,0,0,0,0,3
"11",0,0,0,0,0,0,0,0,0,0,0
