"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0,0,0,1,0,0,0
"2",0,0,0,0,0,1,0,0,1,0
"3",0,0,0,0,1,0,1,0,2,1
"4",0,0,0,0,2,5,2,4,2,3
"5",0,0,1,2,0,1,4,3,3,4
"6",0,1,0,5,1,0,10,10,8,13
"7",1,0,1,2,4,10,0,6,10,15
"8",0,0,0,4,3,10,6,0,9,12
"9",0,1,2,2,3,8,10,9,0,12
"10",0,0,1,3,4,13,15,12,12,0
