Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9
V1,0,5,11,2,6,7,1,4,3
V2,5,0,6,3,13,10,12,4,6
V3,11,6,0,11,11,5,9,3,2
V4,2,3,11,0,8,5,8,11,4
V5,6,13,11,8,0,7,10,8,2
V6,7,10,5,5,7,0,8,5,5
V7,1,12,9,8,10,8,0,6,2
V8,4,4,3,11,8,5,6,0,4
V9,3,6,2,4,2,5,2,4,0
