"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,32,23,30,33,27,28,29,26
"2",32,0,65,65,66,64,84,74,52
"3",23,65,0,71,79,88,84,81,61
"4",30,65,71,0,85,96,90,86,72
"5",33,66,79,85,0,103,84,89,66
"6",27,64,88,96,103,0,94,92,84
"7",28,84,84,90,84,94,0,97,74
"8",29,74,81,86,89,92,97,0,76
"9",26,52,61,72,66,84,74,76,0
