Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8
V1,0,5,0,0,1,0,0,0
V2,0,0,0,0,0,0,0,1
V3,0,1,0,3,3,0,0,2
V4,0,1,1,0,0,2,1,0
V5,0,1,2,0,0,0,0,1
V6,0,2,2,2,4,0,1,2
V7,2,1,0,0,2,0,0,0
V8,1,1,0,0,5,0,0,0
