Unnamed: 0,V1,V2,V3,V4,V5,V6,V7
V1,0,1,0,0,0,0,0
V2,0,0,0,0,1,0,0
V3,3,0,0,1,2,0,2
V4,1,0,1,0,0,2,2
V5,1,0,4,2,0,3,1
V6,1,2,3,0,3,0,6
V7,0,2,2,0,0,2,0
